lspe_id,nama_daerah,mainprocurementcategory,award_value_p99,days_to_award_p95,budget_ratio_p05,budget_ratio_p95
127,Jakarta,Goods,31330349982.360092,34.0,0.6250572618055374,0.9960947345280728
127,Jakarta,Services,14813999278.108809,65.0,0.6908256103085127,0.9895701590903112
127,Jakarta,Works,243135690937.6002,49.19999999999982,0.7808792877156961,0.9791575296702812
42,Jawa Tengah,Goods,11775883418.999962,37.0,0.6754776364075593,0.9966130215880781
42,Jawa Tengah,Services,21169433065.0,54.0,0.7819051556132994,0.9964877438224204
42,Jawa Tengah,Works,29615021590.63184,53.0,0.7258185896607349,0.9800294163288501
15,Jawa Timur,Goods,22909656000.00005,28.0,0.708152844460122,0.9952841568466995
15,Jawa Timur,Services,3527593000.000001,53.0,0.7966566248486849,0.9968919968919968
15,Jawa Timur,Works,51954154799.99992,36.59999999999991,0.7688571580243214,0.9873272732621844
