raw_feature,mean_abs_shap
mainprocurementcategory,0.47032153152187056
value_gap,0.1766548040579735
award_quarter,0.17531102613736846
tender_minvalue,0.15869522210940185
award_month,0.15208224061352116
award_value_per_day,0.14846365635680783
award_value,0.1426342664656103
days_to_award,0.1424318995244873
log_tender_minvalue,0.13789669131250623
log_award_value,0.12749813724259856
title_word_count,0.12402529957876096
award_title_word_count,0.12242508756177918
budget_utilization_ratio,0.10139706031964872
award_weekday,0.09928196639330207
supplier_count,0.04845291667055838
same_day_award_flag,0.00013053484833356414
